ImageId,Label
1,0
2,4
3,6
4,9
5,2
6,7
7,7
8,7
9,7
10,4
11,9
12,9
13,1
14,8
15,7
16,4
17,1
18,2
19,0
20,0
21,7
22,9
23,4
24,7
25,0
26,3
27,1
28,2
29,2
30,7
31,9
32,4
33,7
34,0
35,6
36,3
37,7
38,9
39,9
40,3
41,2
42,7
43,2
44,0
45,0
46,2
47,1
48,9
49,3
50,7
51,9
52,3
53,6
54,7
55,6
56,5
57,1
58,3
59,6
60,6
61,4
62,0
63,7
64,1
65,9
66,1
67,7
68,3
69,6
70,3
71,7
72,5
73,0
74,6
75,5
76,9
77,6
78,4
79,3
80,7
81,7
82,2
83,2
84,1
85,7
86,3
87,6
88,1
89,7
90,1
91,4
92,8
93,7
94,2
95,9
96,7
97,2
98,8
99,6
100,9
101,9
102,7
103,7
104,1
105,0
106,9
107,1
108,8
109,6
110,5
111,9
112,5
113,8
114,3
115,7
116,7
117,3
118,8
119,6
120,9
121,1
122,7
123,6
124,0
125,4
126,7
127,2
128,0
129,7
130,7
131,1
132,3
133,6
134,3
135,9
136,7
137,1
138,7
139,6
140,0
141,9
142,3
143,7
144,7
145,7
146,9
147,6
148,4
149,3
150,6
151,1
152,0
153,6
154,1
155,4
156,1
157,9
158,1
159,6
160,7
161,7
162,4
163,9
164,9
165,4
166,6
167,3
168,1
169,2
170,4
171,9
172,8
173,0
174,9
175,7
176,1
177,2
178,3
179,1
180,8
181,2
182,7
183,0
184,7
185,0
186,3
187,8
188,7
189,5
190,1
191,3
192,7
193,5
194,6
195,1
196,0
197,6
198,0
199,0
200,6
201,0
202,8
203,7
204,2
205,9
206,0
207,3
208,1
209,2
210,7
211,9
212,7
213,9
214,3
215,3
216,7
217,7
218,7
219,2
220,1
221,7
222,1
223,1
224,9
225,9
226,7
227,9
228,7
229,7
230,3
231,1
232,9
233,1
234,4
235,9
236,6
237,2
238,1
239,1
240,0
241,3
242,6
243,6
244,2
245,6
246,9
247,1
248,2
249,7
250,3
251,8
252,8
253,7
254,3
255,7
256,7
257,7
258,0
259,3
260,2
261,9
262,1
263,3
264,0
265,1
266,7
267,0
268,4
269,6
270,7
271,2
272,0
273,4
274,1
275,8
276,6
277,7
278,8
279,9
280,4
281,6
282,0
283,4
284,8
285,4
286,5
287,2
288,1
289,0
290,6
291,1
292,0
293,1
294,0
295,7
296,7
297,0
298,0
299,8
300,4
301,3
302,7
303,1
304,6
305,7
306,1
307,3
308,4
309,0
310,9
311,1
312,7
313,1
314,7
315,4
316,2
317,1
318,1
319,7
320,4
321,3
